StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,f1_good_1,exp1_prom_sg_indef_1,f2_bad_1,exp2_uniq_sg_def_1,f3_good _1,exp3_max_pl_indef_1,f4_good_1,exp4_nmax_pl_def_1,f5_good_1,exp5_nprom_sg_indef_1,f6_good_1,exp6_nprom_sg_def_1,f7_bad_1,exp8_uniq_sg_indef_1,f8_bad_1,exp9_max_pl_def_1,f10_bad_1,exp10_prom_sg_def_1,Q33,Q34,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Where did the woman put the chair?  




The woman put the chair near the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put a bag on the table. - How much do you agree with this answer?","Where did the girl put the chair?




The girl put the chair at the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put the bag on the table. - How much do you agree with this answer?","What did the woman do with the bottle? ​​​




The woman put the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put bags on the table. - How much did you agree with this answer?","Where did the woman put the chair? 




The woman put the chair near the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put the bags on the table. - How much do you agree with this answer?","Where did the woman sit? 




The woman sat near the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put a bag on the table. - How much do you agree with this answer?","Where did the woman sit? 




The woman sat near the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put the bag on the table. - How much do you agree with this answer?","What did the woman do with the bottle?




The woman put the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put a bag on the table. - How much do you agree with this answer?","Where did the woman put the chair?




The woman put the chair by the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put the bags on the table. - How much do you agree with this answer?","What did the woman do with the bottle?





The woman moved the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put the bag on the table. - How much do you agree with this answer?",Is English your only native language?,"If you answered no in the previous question, what other languages do you speak natively? (By speaking natively we mean ""I learned this language as a child and have used it in your family."")",We're more than happy to hear your feedback on this experiment -- please share it below!
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}"
2022-11-21 12:57:02,2022-11-21 13:01:47,0,69.212.103.199,100,284,1,2022-11-21 13:01:48,R_wZsTf4GlLWndMMp,,,,,32.339,-97.4163,anonymous,EN,10,10,1,10,10,10,10,5,10,8,10,7,3,10,10,10,1,10,1,,
2022-11-21 12:45:13,2022-11-21 13:02:38,0,69.76.169.15,100,1044,1,2022-11-21 13:02:38,R_2A076wtMgBvEY3e,,,,,38.9909,-94.5525,anonymous,EN,10,10,0,10,10,10,0,5,7,9,7,10,10,10,10,10,0,10,1,,
2022-11-21 13:02:12,2022-11-21 13:09:10,0,174.49.31.101,100,417,1,2022-11-21 13:09:10,R_2XoIgO8YhtjBgZG,,,,,35.9698,-86.5061,anonymous,EN,9,10,4,10,10,10,10,6,7,6,9,9,2,10,8,10,2,7,1,,
2022-11-21 13:05:16,2022-11-21 13:12:00,0,68.42.140.176,100,403,1,2022-11-21 13:12:00,R_3GCFGd4XYQAXv0K,,,,,42.4036,-86.2521,anonymous,EN,10,10,2,10,10,10,10,6,10,10,10,9,2,10,8,10,0,10,1,,
2022-11-21 13:09:52,2022-11-21 13:13:24,0,68.44.112.44,100,211,1,2022-11-21 13:13:24,R_2rqZvWZbn5WodnL,,,,,40.5025,-86.1462,anonymous,EN,10,10,3,10,9,10,3,10,3,10,4,10,5,10,9,10,5,10,1,,
2022-11-21 13:10:36,2022-11-21 13:14:45,0,76.156.172.168,100,248,1,2022-11-21 13:14:46,R_1JLYXftCRs30bD8,,,,,37.751,-97.822,anonymous,EN,8,10,3,10,10,10,10,9,10,10,10,7,3,10,10,10,8,10,1,,
2022-11-21 13:13:11,2022-11-21 13:16:55,0,71.88.212.132,100,224,1,2022-11-21 13:16:56,R_3FVyJDosQtbzACR,,,,,35.6598,-83.9867,anonymous,EN,10,10,0,10,10,10,10,7,10,10,10,7,3,10,10,10,0,10,1,,
2022-11-21 13:16:09,2022-11-21 13:20:23,0,172.58.158.35,100,254,1,2022-11-21 13:20:24,R_3EooDQWtS24X2Wo,,,,,35.2296,-80.843,anonymous,EN,10,10,1,10,10,10,10,5,10,10,10,10,0,10,10,10,0,10,1,,
