StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,f1_good_1,exp11_max_sg_indef_1,f2_bad_1,exp12_uniq_pl_def_1,f3_good _1,exp13_max_sg_def_1,f4_good_1,exp14_uniq_pl_indef_1,f5_good_1,exp15_prom_pl_def_1,f6_good_1,exp16_prom_pl_indef_1,f7_bad_1,exp17_nprom_pl_indef_1,f8_good_1,exp18_nmax_sg_def_1,f8_bad_1,exp19_uniq_pl_def_1,f10_bad_1,exp20_nmax_sg_indef_1,f11_good_1,exp7_nmax_pl_indef_1,Q33,Q34,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Where did the woman put the chair?  




The woman put the chair near the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put a bag on the table. - How much do you agree with this answer?","Where did the girl put the chair?




The girl put the chair at the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put the bags on the table. - How much do you agree with this answer?","What did the woman do with the bottle? ​​​




The woman put the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put the bag on the table. - How much did you agree with this answer?","Where did the woman put the chair? 




The woman put the chair near the table. - How much do you agree with this answer?","What did the woman put on the table? 




The woman put bags on the table. - How much do you agree with this answer?","Where did the woman sit? 




The woman sat near the table. - How much do you agree with this answer?","What did the woman put on the table?

 



The woman put the bags on the table. - How much do you agree with this answer?","Where did the woman sit? 




The woman sat at the table. - How much do you agree with this answer?","What did the woman put on the table?




The woman put bags on the table. - How much do you agree with this answer?","What did the woman do with the bottle?




The woman put the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put bags on the table. - How much do you agree with this answer?","What did the woman do with the bottle?





The woman moved the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put the bag on the table. - How much do you agree with this answer?","Where did the woman put the chair?




The woman put the chair by the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put the bags on the table. - How much do you agree with this answer?","What did the woman do with the bottle?





The woman moved the bottle on the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put a bag on the table. - How much do you agree with this answer?","Where did the woman sit?





The woman sat by the table. - How much do you agree with this answer?","What did the woman put on the table?





The woman put bags on the table. - How much do you agree with this answer?",Is English your only native language?,"If you answered no in the previous question, what other languages do you speak natively? (By speaking natively we mean ""I learned this language as a child and have used it in your family."")",We're more than happy to hear your feedback on this experiment -- please share it below!
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}"
2022-11-21 14:24:40,2022-11-21 14:30:58,0,71.56.106.232,100,377,1,2022-11-21 14:30:59,R_3JERjTLrlBAqDt1,,,,,33.2541,-84.2735,anonymous,EN,10,10,0,10,10,10,7,10,8,8,0,5,10,0,10,8,7,5,0,7,10,10,1,,"Very interesting "
2022-11-21 14:29:29,2022-11-21 14:36:02,0,24.136.9.232,100,392,1,2022-11-21 14:36:02,R_3qgMPALYv5YxVPd,,,,,42.0107,-87.6657,anonymous,EN,2,6,0,2,10,3,10,2,10,1,1,2,10,1,9,1,0,0,1,1,10,9,1,,
2022-11-21 14:42:30,2022-11-21 14:50:47,0,76.255.159.8,100,497,1,2022-11-21 14:50:47,R_1lfPFOLF41YNqtt,,,,,42.8252,-86.0106,anonymous,EN,0,2,0,2,10,2,10,0,10,0,0,0,1,0,9,0,10,0,8,1,0,9,1,,
2022-11-21 14:46:31,2022-11-21 14:51:20,0,73.117.102.251,100,289,1,2022-11-21 14:51:21,R_2Cwc9thSWDDx3Fo,,,,,40.6774,-80.6006,anonymous,EN,10,10,0,10,10,5,5,0,8,2,0,0,3,0,7,3,10,1,0,0,2,10,1,,
2022-11-21 14:45:16,2022-11-21 14:52:41,0,107.77.207.224,100,445,1,2022-11-21 14:52:42,R_Y9UHWT29yS5OEoh,,,,,41.8764,-87.6133,anonymous,EN,10,8,2,0,10,3,10,2,10,0,9,1,1,1,9,6,10,0,0,10,10,10,1,,None
2022-11-21 14:47:06,2022-11-21 14:53:04,0,76.209.9.65,100,358,1,2022-11-21 14:53:04,R_2Xc8yOf8bXlbzr7,,,,,32.7611,-97.3318,anonymous,EN,10,10,10,10,10,10,10,10,10,0,0,0,10,0,10,0,10,0,0,0,10,10,1,,
2022-11-21 14:47:12,2022-11-21 14:53:28,0,98.247.244.74,100,375,1,2022-11-21 14:53:29,R_1GTQZbts9R9jAle,,,,,48.5062,-122.6291,anonymous,EN,10,3,3,1,10,3,10,1,10,1,3,1,1,1,10,2,4,1,0,1,10,9,1,,n/a
2022-11-21 14:47:40,2022-11-21 14:55:28,0,75.142.6.7,100,467,1,2022-11-21 14:55:28,R_1DZsMhUbFhe0KLl,,,,,42.3394,-122.8475,anonymous,EN,10,2,4,1,10,2,10,1,10,1,0,1,10,1,10,1,8,1,0,0,10,10,1,,
