StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,f1_good _1,exp1_prom_pl_1,f2_bad _1,exp2_uniq_sg_1,f3_good _1,exp3_max_sg_1,f4_bad _1,exp4_nmax_pl_1,f5_good_1,exp5_nprom_sg_1,f6_bad _1,exp6_nprom_sg_1,f7_good_1,exp7_nmax_sg_1,f8_bad_1,exp8_max_pl_1,f9_good_1,exp9_1,f10_bad_1,exp10_prom_sg_1,Q33,Q34,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Куда села девушка? 


​​​​​

Девушка села у стола. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул?





Девушка поставила стул за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул?



​​​​​​

Девушка поставила стул за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Куда села девушка? 





Девушка села за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул? 





Девушка поставила стул у стола. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакеты на стол. - How much do you agree with this answer?","Что девушка сделала с бутылкой? 





Девушка передвинула бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка поставила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?




Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка положила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка поставила бутылку на столе. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?




Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка положила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?",Русский --  Ваш единственный родной язык?,"Если Вы ответили ""Нет"" на предыдущий вопрос, носителем какого языка, кроме русского, Вы являетесь? (Под носителями языка мы подразумеваем тех, кто усвоил язык в раннем детстве).","Если у вас есть вопросы, отзывы или комментарии к этому опросу, Вы можете оставить их в этом окне:"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}"
2022-11-21 14:32:38,2022-11-21 14:39:49,0,151.0.51.160,100,431,1,2022-11-21 14:39:50,R_3fHwN1gysvEavlE,,,,,47.2189,38.9168,anonymous,EN,10,2,0,10,10,0,0,5,10,2,0,10,10,0,1,10,10,1,1,10,1,,"Было довольно интересно участвовать в данном опросе. "
2022-11-21 14:32:51,2022-11-21 14:41:02,0,178.75.41.131,100,491,1,2022-11-21 14:41:02,R_1g7RKsl2tKyVoer,,,,,53.2859,34.3691,anonymous,EN,9,1,1,10,10,0,0,10,10,0,0,10,10,0,5,10,10,0,0,10,1,,
2022-11-21 15:30:18,2022-11-21 15:34:52,0,37.208.73.242,100,274,1,2022-11-21 15:34:53,R_2DRCMf7Dz6JYilQ,,,,,54.2021,37.6179,anonymous,EN,9,10,5,10,0,10,10,10,10,10,0,10,10,0,0,10,6,5,5,10,1,Нет,
2022-11-21 15:29:42,2022-11-21 15:36:16,0,185.253.42.86,100,393,1,2022-11-21 15:36:16,R_3KPHNIIXxX0tmTp,,,,,48.0243,37.8115,anonymous,EN,1,9,6,9,1,9,9,9,1,9,1,9,9,9,9,9,1,9,9,9,1,,
2022-11-21 15:30:03,2022-11-21 15:36:21,0,62.112.8.52,100,377,1,2022-11-21 15:36:21,R_p5DNhvrVu30CGTn,,,,,51.9934,4.2158,anonymous,EN,2,9,5,9,1,9,5,9,9,9,1,9,9,9,1,9,5,10,1,5,2,Украинский,
2022-11-21 15:29:51,2022-11-21 15:36:37,0,81.222.188.29,100,405,1,2022-11-21 15:36:37,R_8GtuFegi8sS4X7z,,,,,55.7524,49.1388,anonymous,EN,10,3,0,10,10,1,0,5,9,0,0,4,10,0,0,10,4,3,4,10,1,,
2022-11-21 15:29:59,2022-11-21 15:36:41,0,95.152.26.7,100,401,1,2022-11-21 15:36:41,R_85EPgKoSxvtV2Fz,,,,,53.195,44.9945,anonymous,EN,10,5,0,10,10,5,0,10,10,5,10,10,10,0,2,10,9,2,0,10,1,,
2022-11-21 15:29:44,2022-11-21 15:36:46,0,46.242.11.151,100,421,1,2022-11-21 15:36:46,R_3hGwCkRZ1B36BKO,,,,,55.7483,37.6171,anonymous,EN,10,0,0,10,7,0,0,7,10,0,0,7,10,0,10,10,7,0,0,10,1,,
